视频序号,视频_url,视频长度（min）,视频类型,问题序号,问题,"问题类型
",答案,若涉及通用知识推理，则写出推理步骤（知识点）,依据（解题思路）,,,,,,,,,,
1,https://www.youtube.com/watch?v=NUU28g6d9VY&list=LL&index=176,22:01,测评 - 食品,1,"What is Holly’s favorite drink?
","多线索推理,人物属性建模", Lemonade.,,模型需在多人物中识别Holly，并对Holly进行持续追踪，通过Holly在多个片段中一直想要喝柠檬水，以及爸爸从街头走到结尾也要给他买柠檬水等片段，模型可对Holly最喜欢的饮料进行推断。,,,,,,,,,,
,,,,2,"How should lamb be cooked to keep it moist and juicy?
","多模态/多语言推理,通用知识推理",Boil the meat.,Mark在吃肉夹馍的时候，说这里的羊肉吃起来很多汁，吃起来一点也不干，视频中mark带孩子们去卖肉夹馍时，店里员工是从一锅煮的肉中捞出来剁成肉夹馍陷的，因此推断， Boil the meat会让肉吃起来更多汁,模型需要定位到mark带着两个孩子在街头吃肉夹馍的片段，通过mark对肉夹馍肉馅的多汁评价，模型可结合画面信息，运用多模态对肉夹馍肉馅烹饪方式进行推断，可知 Boil the meat会让肉吃起来更多汁。,,,,,,,,,,
,,,,3,What is the relationship between Matthew and Holly? ,"多线索推理,人物属性建模",Brother and sister.,,模型需在多人物中识别Matthew and Holly，并对Matthew and Holly进行持续追踪，通过多个片段中两人之间的互动以及mark对两人的称呼，模型可推断两人位兄妹关系。,,,,,,,,,,
,,,,4,Which app should foreigner avoid using when trying to find the Holiday Inn Express hotel in Xi’an?,通用知识推理,Google map.,mark第一次在西安街头使用Google map寻找Holiday Inn Express hotel时并没有找到这家酒店，因为Google map在中国并不准确，最后司机师傅帮他输入正确地址才找到，因此推断Google map中西安Holiday Inn Express hotel的地址是错误的，外国人找这家酒店时不要使用Google map,模型需要定位到mark第一次在西安街头使用Google map寻找Holiday Inn Express hotel失败的片段，由此推断Google map中Holiday Inn Express hotel并不准确，可据此推断来西安的外国人找这家酒店时应避免使用Google map,,,,,,,,,,
,,,,5,"What was the food Holly’s family have after they ate Roujiamo at the Muslim Quarter?
",多跳推理, Grilled skewers.,,模型首先需要定位到mark一家在穆斯林广场上吃完肉夹馍的片段，接着对他们吃完肉夹馍后吃的食物进行追踪识别。,,,,,,,,,,
2,https://www.youtube.com/watch?v=4EhV78FFTzc&list=LL&index=174,22:04,vlog - 旅行,1,"What is Tommy’s favorite thing to do in the Gothic Quarter?
",人物属性建模, Enjoy the history and live street music.,,模型需在多人物中识别Tommy，并对Tommy进行持续追踪，通过Tommy在Gothic Quarter上的自述，模型可以对Tommy最喜欢在Gothic Quarter做的事情进行总结判断。,,,,,,,,,,
,,,,2,"Is Ciutadella Park in Barcelona a dog-friendly park?
","多模态/多语言推理,通用知识推理"," Yes, it is a dog-friendly park.",Tommy在拍摄Ciutadella Park时，说这里有好多当地人在锻炼，也有好多当地人在公园溜他们的狗，且视频画面中出现了狗狗在公园玩耍的镜头，由此判断Ciutadella Park是一个狗狗友好型公园,模型需要定位到Tommy和妻子在Ciutadella Park片段，通过Tommy对公园在公园好多人溜他们的狗的讲述以及视频画面中出现了狗狗在公园玩耍的镜头，模型可结合视觉听觉对Ciutadella Park是一个狗狗友好型公园做出推断,,,,,,,,,,
,,,,3,Is Tommy a social butterfly or have socially phobia?,"多线索推理,人物属性建模",He is a social butterfly ,,模型可以通过多个片段中Tommy主动为路人拍照以及在公园有很多路人围观的情况下给妻子唱生日快乐歌的片段，对Tommy是个社牛的人物特征做出判断,,,,,,,,,,
,,,,4,"How far in advance should you book tickets to get a good viewing spot at La Sagrada Familia in Spain?
",通用知识推理, At least two weeks  or longer in advance.,Tommy妻子说自己提前一周预定La Sagrada Familia的观赏位置已经找不到好的观赏位置了，希望大家能预定时能再提前一些，由此推断，至少需要提前两周甚至更长时间预定才能找到好的观赏点,模型需要定位到Tommy和妻子去La Sagrada Familia观赏前的画面，Tommy妻子提前一周没有预定到好位置，模型可推断好的观赏点至少需要提前两周甚至更长时间才能预定到,,,,,,,,,,
,,,,5,"What did Tommy do before they back into main square at Plaza de Catalonia?
",多跳推理,They have meal at El XAMP ANYET.,,模型首先需要定位到Tommy和妻子在Plaza de Catalonia主广场的片段，才能定位到他们俩在回到Plaza de Catalonia主广场之前，在El XAMP ANYET餐厅吃饭,,,,,,,,,,
3,https://www.youtube.com/watch?v=IToN98065h8,23:24,vlog - 学习,1,Which country does Serena live in? ,人物属性建模,Canada.,,模型需要定位Serena说在加拿大工程学考试失败很正常的片段，可知Serena对加拿大很了解，推测她生活在加拿大。,,,,,,,,,,
,,,,2,Is Serena a person with a plan? ,人物属性建模,Yes.,,模型需要定位Serena展示她的周计划的片段，根据画面可以看到她的计划表很有条理且有很多安排，可知Serena是个有计划的人。,,,,,,,,,,
