视频序号,视频_url,视频长度（min）,视频类型,问题序号,问题,"问题类型
",答案,若涉及通用知识推理，则写出推理步骤（知识点）,依据（解题思路）,,,,,,,,,,
1,https://www.youtube.com/watch?app=desktop&v=zf0SwaCIpeU,24:02,vlog - 旅行,1,Is Dave’s morning habit to sleep in or wake up early?,人物属性建模, Wake up early.,,Dave和Tracy说在度假区会有派对，但自己参加派对的话有点太老了，自己通常在早上7点就起床了，由此模型可推断，Dave在早上不习惯睡懒觉，习惯早起。,,,,,,,,,,
,,,,2,Is Bahia Principe Grand Coba hotel animal-friendly? ,"多模态/多语言推理,通用知识推理","Yes, it is a animal-friendly hotel.",Dave和Tracy拍摄的Bahia Principe Grand Coba hotel中出现了很多与动物有关的镜头，如卡皮巴拉、蜥蜴、墨西哥小浣熊等，由此推断Bahia Principe Grand Coba hotel是一个对动物友好的酒店。,模型需要定位到Dave拍摄介绍Bahia Principe Grand Coba hotel中动物的片段，结合多模态分析画面中Bahia Principe Grand Coba hotel中动物可以自由穿行生活，可以判断出这是一个对动物友好的酒店。,,,,,,,,,,
,,,,3,What is Tracy’s favorite sauce on tacos? ,人物属性建模,Guacamole. ,,Tracy在介绍墨西哥taco时，提到要在taco上面选择你想要的sauce，Tracy认为guacamole在所有的酱里面是最好的，并在自己的taco上选择了guacamole，由此Tracy最喜欢在taco上放的酱是guacamole,,,,,,,,,,
,,,,4,Which restaurant should people choose for lunch at Bahia Principe Grand Coba hotel if people prefer international food? ,"多线索推理,通用知识推理",The snack bar.,Bahia Principe Grand Coba hotel主餐厅主要提供一些墨西哥当地风味的美食，如taco等，The snack bar提供其他国家的美食，由此推断，The snack bar提供的美食更具有国际化风味，喜欢international food的人，可以选择snack bar,模型需要结合多个片段，Dave和Tracy介绍Bahia Principe Grand Coba hotel的片段，判断出主餐厅主要提供墨西哥当地风味的美食，snack bar提供其他国家的美食，由此推断喜欢international food的人，可以选择snack bar,,,,,,,,,,
,,,,5,How many restaurants offer lunch at Bahia Principe Grand Coba hotel? ,多线索推理,Two.,,模型需要结合，Dave和Tracy介绍Bahia Principe Grand Coba hotel多个片段，对午餐开放的餐厅进行总结，才能回答，Bahia Principe Grand Coba hotel在午餐时开放两个餐厅供游客选择。,,,,,,,,,,
2,https://www.youtube.com/watch?v=EpbxG3G5uEg,30:03,vlog - 工作,1,How does Chris locate his carts in the warehouse?,多跳推理,He will receive the location code of his karts and scan the QR code on the cart.,,模型先定位到仓库，Chris装货之前，要等待系统把当天的货物位置发给他，然后他通过代码找到货车所在的区域并扫码确认。,,,,,,,,,,
,,,,2,Which three gas types are circulated in American market?,"多模态/多语言推理,通用知识推理","87 for regular, 89 for extra and 93 for supreme.",Chris在美国为Amazon工作，在他加油时，加油站的机器上显示三种汽油的标号，可得知美国市场上普遍上有这三种油。,模型定位到Chris在加油站加油的时候，说到只要加regular的就可以，这时加油机器上标明3种油，分别是87、89和93号汽油。,,,,,,,,,,
,,,,3,Is Chris a person who values environmental cleanliness?,人物属性建模,No.,,Chris把没用的小票扔进离他不远的垃圾箱时，第一次并没有扔进去，Chris又尝试扔了一下，再次失败后作罢，任由那张小票就到落在垃圾箱旁边，可见他是个不珍视environmental cleanliness的人,,,,,,,,,,
,,,,4,How do Amazon lockers do good to the delivery men?,"多线索推理,通用知识推理",Because they can put all the packages in surrounding community into the locker at one time.,在遇到这个快递箱之前，Chris需要跑很多地方送快递，但有了locker，他可以把附近所有的快递都放到这一处，不用再来回跑了。,模型可以对比没有locker和有locker的区别，如果有locker，Chris可以一次性投递所有快递,,,,,,,,,,
,,,,5,What is Chris's perspective of his job?,人物属性建模,He think he may loose the job soon.,,模型可以定位到视频最后Chris说他的网点可能被取消，因此他可能失业。,,,,,,,,,,
