视频序号,视频_url,视频长度（min）,视频类型,问题序号,"问题
","问题类型
",答案,若涉及通用知识推理，则写出推理步骤（知识点）,依据（解题思路）,,,,,,,,,,
1,https://www.youtube.com/watch?v=XX3rRntdyYc,23:40,测评 - 工具/机械,1,How to open the charging port in the Xiaomi Su7?,"多模态/多语言推理,通用知识推理",Put your finger on it and flick it.,电车的充电口一般通过手指触碰就可以打开。,找到对应片段，并根据相应画面和语音推理出答案。,,,,,,,,,,
,,,,2,Does the author like the navigation voice of Xiaomi Su7?,人物属性建模,"Yes,he thinks it's pretty cool.",,找到相应片段，并根据博主的反应得出答案。,,,,,,,,,,
,,,,3,How is the author's Chinese level?,"多线索推理,人物属性建模",Not very well.,,可以从博主在面对中文触摸屏时反应等片段得出答案。,,,,,,,,,,
,,,,4,What has the US long been thinking about Chinese products?,多线索推理,Poor quality.,,找到对应画面，并根据作者所说关于在美国一般情况下对于中国产品的看法推理出答案。,,,,,,,,,,
,,,,5,Why Chinese cars need to be made in the US if they are to be sold in the US?,"多线索推理,通用知识推理",Because of the tariff environment.,美国的关税政策非常苛刻，这导致外国汽车将不得不在美国设厂才能销售。,基于作者描述推理出答案。,,,,,,,,,,
2,https://www.youtube.com/watch?v=iVAc9t_fD2I,36:22,vlog - 出行,1,Which way did Luke and Tom choose to cross the narrow river?,多线索推理,They waded across from the bottom. ,,模型先定位到luke与tom穿越狭窄河流的片段，根据视觉以及luke所描述得知他们是从底部淌水过来的。,,,,,,,,,,
,,,,2,What does the ripe fruit of a cactus taste like? ,通用知识推理,It is sour.,仙人掌上结的果实味道是酸的。,根据luke和tom发现了仙人掌上结的果实，并吃到嘴里，说他们有点像酸味覆盆子味道，有很多小种子和果肉，可以得知仙人掌的果实味道酸的。,,,,,,,,,,
,,,,3,What are the common hobbies of Luke and Tom?,人物属性建模,Hiking.,,模型根据luke与tom经常远足可以看出他们两个人的爱好之一是远足。,,,,,,,,,,
,,,,4,Which person is closely related to the decline of Grafton?,通用知识推理,Joseph Berry.,约瑟夫贝瑞的死亡导致格拉夫顿村民逃亡，鬼城衰落。,约瑟夫贝瑞的死亡有一系列连锁反应，导致了这里的村民转移到附近的村落，导致了格拉夫顿走向衰落。,,,,,,,,,,
,,,,5,Does Luke like swimming very much?,人物属性建模,Yes.,,根据luke在到达Capitol Reef National Park看到了水，他想从上面跳下去游泳，以及他描述上次在另一个地方就这样做了得知他很喜欢游泳。,,,,,,,,,,
