"filename", "language", "JSON", "CSV", "JSON Lines", "Python", "Markdown", "pip requirements", "Shell Script", "YAML", "comment", "blank", "total"
"/Users/bytedance/Documents/code/mmagent/README.md", "Markdown", 0, 0, 0, 0, 62, 0, 0, 0, 0, 21, 83
"/Users/bytedance/Documents/code/mmagent/analysis/check_qa_badcases.py", "Python", 0, 0, 0, 83, 0, 0, 0, 0, 2, 19, 104
"/Users/bytedance/Documents/code/mmagent/annotation_processing.ipynb", "JSON", 582, 0, 0, 0, 0, 0, 0, 0, 0, 1, 583
"/Users/bytedance/Documents/code/mmagent/baselines/baseline_answer_clipwise.ipynb", "JSON", 242, 0, 0, 0, 0, 0, 0, 0, 0, 1, 243
"/Users/bytedance/Documents/code/mmagent/baselines/baseline_blind.py", "Python", 0, 0, 0, 29, 0, 0, 0, 0, 0, 5, 34
"/Users/bytedance/Documents/code/mmagent/configs/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/bytedance/Documents/code/mmagent/configs/memory_config.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/bytedance/Documents/code/mmagent/configs/processing_config.json", "JSON", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32
"/Users/bytedance/Documents/code/mmagent/data/annotations/archived/small_test.json", "JSON", 4630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4630
"/Users/bytedance/Documents/code/mmagent/data/annotations/archived/small_test.jsonl", "JSON Lines", 0, 0, 504, 0, 0, 0, 0, 0, 0, 1, 505
"/Users/bytedance/Documents/code/mmagent/data/annotations/archived/small_train.json", "JSON", 25201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25201
"/Users/bytedance/Documents/code/mmagent/data/annotations/archived/small_train.jsonl", "JSON Lines", 0, 0, 2767, 0, 0, 0, 0, 0, 0, 1, 2768
"/Users/bytedance/Documents/code/mmagent/data/annotations/raw/CZ_1.csv", "CSV", 0, 508, 0, 0, 0, 0, 0, 0, 0, 0, 508
"/Users/bytedance/Documents/code/mmagent/data/annotations/raw/CZ_1.json", "JSON", 4337, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4337
"/Users/bytedance/Documents/code/mmagent/data/annotations/raw/CZ_1_refined.json", "JSON", 4437, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4437
"/Users/bytedance/Documents/code/mmagent/data/annotations/raw/CZ_2.csv", "CSV", 0, 505, 0, 0, 0, 0, 0, 0, 0, 2, 507
"/Users/bytedance/Documents/code/mmagent/data/annotations/raw/CZ_2.json", "JSON", 4309, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4309
"/Users/bytedance/Documents/code/mmagent/data/annotations/raw/CZ_2_refined.json", "JSON", 4409, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4409
"/Users/bytedance/Documents/code/mmagent/data/annotations/raw/CZ_3.csv", "CSV", 0, 513, 0, 0, 0, 0, 0, 0, 0, 0, 513
"/Users/bytedance/Documents/code/mmagent/data/annotations/raw/CZ_3.json", "JSON", 4358, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4358
"/Users/bytedance/Documents/code/mmagent/data/annotations/raw/CZ_3_refined.json", "JSON", 4458, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4458
"/Users/bytedance/Documents/code/mmagent/data/annotations/raw/CZ_4.csv", "CSV", 0, 310, 0, 0, 0, 0, 0, 0, 0, 0, 310
"/Users/bytedance/Documents/code/mmagent/data/annotations/raw/CZ_4.json", "JSON", 4393, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4393
"/Users/bytedance/Documents/code/mmagent/data/annotations/raw/CZ_4_refined.json", "JSON", 4493, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4493
"/Users/bytedance/Documents/code/mmagent/data/annotations/raw/CZ_5.csv", "CSV", 0, 520, 0, 0, 0, 0, 0, 0, 0, 0, 520
"/Users/bytedance/Documents/code/mmagent/data/annotations/raw/CZ_5.json", "JSON", 4421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4421
"/Users/bytedance/Documents/code/mmagent/data/annotations/raw/CZ_5_refined.json", "JSON", 4521, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4521
"/Users/bytedance/Documents/code/mmagent/data/annotations/raw/ZZ_1.csv", "CSV", 0, 537, 0, 0, 0, 0, 0, 0, 0, 4, 541
